# fpDistance is in mm
# verticalPosition is 0 for a fully lowered notch, and increases
# bad tag means notch setup was faulty

number(int) fiberConfig(str) fpDistance(int) verticalPosition(int) tag
0 0 0 0 control
1 2 0 0 -
2 2 0 1 -
3 2 0 2 -
4 2 0 3 -
5 2 5 0 -
6 2 5 1 -
7 2 5 2 -
8 2 5 3 -
9 2 5 4 -
10 2 5 5 -
11 2 5 6 -
12 2 15 0 -
13 2 15 1 -
14 2 15 2 -
15 2 15 3 -
16 2 15 4 -

17 1 15 0 -
18 1 15 1 -
19 1 15 2 -
20 1 15 3 -
21 1 5 0 -
22 1 5 1 -
23 1 5 2 -
24 1 5 3 -
25 1 0 0 -
26 1 0 1 -
27 1 0 2 -
28 1 0 3 -
29 1 0 4 -
30 1 0 5 -

31 1(1)1 15 0 -
32 1(1)1 15 1 -
33 1(1)1 15 2 -
34 1(1)1 15 3 -
35 1(1)1 5 0 -
36 1(1)1 5 1 -
